,       MaxEStateIndex,       MinEStateIndex,    MaxAbsEStateIndex,    MinAbsEStateIndex,                  qed,                MolWt,       HeavyAtomMolWt,           ExactMolWt,  NumValenceElectrons,  NumRadicalElectrons,     MaxPartialCharge,     MinPartialCharge,  MaxAbsPartialCharge,  MinAbsPartialCharge,     FpDensityMorgan1,     FpDensityMorgan2,     FpDensityMorgan3,             BalabanJ,              BertzCT,                 Chi0,                Chi0n,                Chi0v,                 Chi1,                Chi1n,                Chi1v,                Chi2n,                Chi2v,                Chi3n,                Chi3v,                Chi4n,                Chi4v,        HallKierAlpha,                  Ipc,               Kappa1,               Kappa2,               Kappa3,            LabuteASA,            PEOE_VSA1,           PEOE_VSA10,           PEOE_VSA11,           PEOE_VSA12,           PEOE_VSA13,           PEOE_VSA14,            PEOE_VSA2,            PEOE_VSA3,            PEOE_VSA4,            PEOE_VSA5,            PEOE_VSA6,            PEOE_VSA7,            PEOE_VSA8,            PEOE_VSA9,             SMR_VSA1,            SMR_VSA10,             SMR_VSA2,             SMR_VSA3,             SMR_VSA4,             SMR_VSA5,             SMR_VSA6,             SMR_VSA7,             SMR_VSA8,             SMR_VSA9,           SlogP_VSA1,          SlogP_VSA10,          SlogP_VSA11,          SlogP_VSA12,           SlogP_VSA2,           SlogP_VSA3,           SlogP_VSA4,           SlogP_VSA5,           SlogP_VSA6,           SlogP_VSA7,           SlogP_VSA8,           SlogP_VSA9,          EState_VSA1,         EState_VSA10,         EState_VSA11,          EState_VSA2,          EState_VSA3,          EState_VSA4,          EState_VSA5,          EState_VSA6,          EState_VSA7,          EState_VSA8,          EState_VSA9,          VSA_EState1,         VSA_EState10,          VSA_EState2,          VSA_EState3,          VSA_EState4,          VSA_EState5,          VSA_EState6,          VSA_EState7,          VSA_EState8,          VSA_EState9,         FractionCSP3,       HeavyAtomCount,            NHOHCount,              NOCount,  NumAliphaticCarbocycles,  NumAliphaticHeterocycles,    NumAliphaticRings,  NumAromaticCarbocycles,  NumAromaticHeterocycles,     NumAromaticRings,        NumHAcceptors,           NumHDonors,       NumHeteroatoms,    NumRotatableBonds,  NumSaturatedCarbocycles,  NumSaturatedHeterocycles,    NumSaturatedRings,            RingCount,                MolMR,            fr_Al_COO,             fr_Al_OH,      fr_Al_OH_noTert,               fr_ArN,            fr_Ar_COO,              fr_Ar_N,             fr_Ar_NH,             fr_Ar_OH,               fr_COO,              fr_COO2,               fr_C_O,         fr_C_O_noCOO,               fr_C_S,             fr_HOCCN,             fr_Imine,               fr_NH0,               fr_NH1,               fr_NH2,               fr_N_O,    fr_Ndealkylation1,    fr_Ndealkylation2,         fr_Nhpyrrole,                fr_SH,          fr_aldehyde,   fr_alkyl_carbamate,      fr_alkyl_halide,      fr_allylic_oxid,             fr_amide,           fr_amidine,           fr_aniline,       fr_aryl_methyl,             fr_azide,               fr_azo,          fr_barbitur,           fr_benzene,    fr_benzodiazepine,          fr_bicyclic,             fr_diazo,   fr_dihydropyridine,           fr_epoxide,             fr_ester,             fr_ether,             fr_furan,           fr_guanido,           fr_halogen,           fr_hdrzine,           fr_hdrzone,         fr_imidazole,             fr_imide,           fr_isocyan,       fr_isothiocyan,            fr_ketone,    fr_ketone_Topliss,            fr_lactam,           fr_lactone,           fr_methoxy,        fr_morpholine,           fr_nitrile,             fr_nitro,        fr_nitro_arom,  fr_nitro_arom_nonortho,           fr_nitroso,           fr_oxazole,             fr_oxime,  fr_para_hydroxylation,            fr_phenol,  fr_phenol_noOrthoHbond,         fr_phos_acid,        fr_phos_ester,         fr_piperdine,         fr_piperzine,          fr_priamide,      fr_prisulfonamd,          fr_pyridine,             fr_quatN,           fr_sulfide,         fr_sulfonamd,           fr_sulfone,    fr_term_acetylene,         fr_tetrazole,          fr_thiazole,          fr_thiocyan,         fr_thiophene,     fr_unbrch_alkane,              fr_urea, 
            SMR_VSA7,  0.06679, -0.03926, -0.04032, -0.01668,  0.32946,  0.30677,  0.22363,  0.00847, -0.05110,  0.31601,  0.05282, -0.01270,  0.08558,  0.06766,  0.02612,  0.05796,  0.21698,  0.49249,  0.19075,  0.12442,  0.21154,  0.09312,  0.28004,  0.05811, -0.08001,  0.03092,  0.11045, -0.03651, -0.01784,  0.03634,  0.12864,  0.10635,  0.00692,  0.05124,  0.04963,  0.10277,  0.51227,  0.22713, -0.21017,  0.16428,  0.33963, -0.03214,  0.22137,  0.26459, -0.03621,  0.04865,  0.04466, -0.03045,  0.32657,  0.04166,  0.14590,  0.14388, -0.01632,  0.34218, -0.00284,  0.29628,  0.00391,  0.44063,  1.00000,  0.00352,  0.37325,  0.02009, -0.06691,  0.10287,  0.10744,  0.66963,  0.07041, -0.01270,  0.11281,  0.15479,  0.52757,  0.15462, -0.01275,  0.00271,  0.18832,  0.71731, -0.02719,  0.36549, -0.02191, -0.04586,  0.14370, -0.01270,  0.17447,  0.67747, -0.12243,  0.05713, -0.01282,  0.12062,  0.47485, -0.01583,  0.41129, -0.01270,  0.13671,  0.15178,  0.08298,  0.37121,  0.10548,  0.31092,  0.00836, -0.01290, -0.01701, -0.05014,  0.51050, -0.04781,  0.06289,  0.01361, -0.08940, -0.01010, -0.07251,  0.30451,  0.15591, -0.01721,  0.36608,  0.15118,  0.18370,  0.56951,  0.31552,  0.24042,  0.41948, -0.09779,  0.26944,  0.28229,  0.07964,  0.45677,  0.36315,  0.00020,  0.40228, -0.02420,  0.20268, -0.15041,  0.08350,  0.18107,  0.14826, -0.13832,  0.07774, -0.00457,  0.23345,  0.46960,  0.36133, -0.02970,  0.40641,  0.16523, -0.01271,  0.38140,  0.44568,  0.50610,  0.06644,  0.07029,  0.60937,  0.51392,  0.05770, -0.04802, -0.03051, -0.02863,  0.18512,  0.00696,  0.57831,  0.13422, -0.03161,  0.07200,  0.01411, -0.00988, -0.00756,  0.31384,  0.04120,  0.01862, -0.03473, -0.03207,  0.06060,  0.17725, -0.04584, -0.01270,  0.10776,  0.28259,  0.68729, -0.01273, -0.01547,  0.08812,  0.30814,  0.23624,  0.20219,  0.16341, -0.03047,  0.09575, -0.00853, -0.01815, -0.02663,  0.00112, -0.01300, -0.05237, -0.01354, -0.04921, -0.03291, -0.02434, -0.02959, -0.01424, -0.02712, -0.03391, 
            SMR_VSA8, -0.02315,  0.00840,  0.07992,  0.01466, -0.09026, -0.08919,  0.14144,  0.56679,  0.04903, -0.06039,  0.07517, -0.01773, -0.03582,  0.56595, -0.00128, -0.00940, -0.00052,  0.46941, -0.01177, -0.00138,  0.09267,  0.55670, -0.03654,  0.60940,  0.09462, -0.04862,  0.00422,  0.00078,  0.01032,  0.23483,  0.00566,  0.38288,  0.25565, -0.01605, -0.02247, -0.04579,  0.48785,  0.59915,  0.02381, -0.05194, -0.08188,  0.15500,  0.03288, -0.02852,  0.01038,  0.79409,  0.03487,  0.02098,  0.09578,  0.18901, -0.07391, -0.07247,  0.05211, -0.08647,  0.00934,  0.02337,  0.20754, -0.04202,  0.00352,  1.00000, -0.01107,  0.95851,  0.01151, -0.02777, -0.03261,  0.06463, -0.05474, -0.01774, -0.03086,  0.01058, -0.09123, -0.06402, -0.01970,  0.00434,  0.02921,  0.00170, -0.02420, -0.09437,  0.67337,  0.05307,  0.10764, -0.01774,  0.12151, -0.00941,  0.24693, -0.04175, -0.01769,  0.13119, -0.06743, -0.01857, -0.00112, -0.01774,  0.14128, -0.01571,  0.13916, -0.06697,  0.00424, -0.07512,  0.72789, -0.01761,  0.82438,  0.85266,  0.06463,  0.10938,  0.07371, -0.03247,  0.11692,  0.03044,  0.15902,  0.01353,  0.02686, -0.02346, -0.09720,  0.06364,  0.57828, -0.01465, -0.10559,  0.03801, -0.06199,  0.07922, -0.03169, -0.01286,  0.03503, -0.04321, -0.05456, -0.01368,  0.05536, -0.00803, -0.07657, -0.01559,  0.11438, -0.02641, -0.07314,  0.14874, -0.03298, -0.02151, -0.04384, -0.07690, -0.03536,  0.52793,  0.00679,  0.07621, -0.01646, -0.09995, -0.11430, -0.08081,  0.12059, -0.00255, -0.00317, -0.04127,  0.06688, -0.04220,  0.22137,  0.67583, -0.07249,  0.21161,  0.36086,  0.07326,  0.29186, -0.02371, -0.02969, -0.01731, -0.02030, -0.00307,  0.54722,  0.15753, -0.01156,  0.09737,  0.08045, -0.00060,  0.93430, -0.01774,  0.19270,  0.01852, -0.10303, -0.01771,  0.10678,  0.77304, -0.07279, -0.00561,  0.11594, -0.03782,  0.72610,  0.83656,  0.90030,  0.87252,  0.72054,  0.83945,  0.77898,  0.44847, -0.00734,  0.55241,  0.53130,  0.75877,  0.81388,  0.00757,  0.83016,  0.79361, 
            SMR_VSA9,  0.03419,  0.21622, -0.03217, -0.04257,  0.18760,  0.19200,  0.59954,  0.21517, -0.00075, -0.10717,  0.26955,  0.02330,  0.17540, -0.09222,  0.21679,  0.00982,  0.44842,  0.23767, -0.07745,  0.22518,  0.08358,  0.15713,  0.21620, -0.00524,  0.14963, -0.10375,  0.00808, -0.01950,  0.24643,  0.05499,  0.30636,  0.18863, -0.02147,  0.02514,  0.09733,  0.12333,  0.29991,  0.37132, -0.05622,  0.25554,  0.50247, -0.24721,  0.53063, -0.08802, -0.07277,  0.01508,  0.31780, -0.00542,  0.37625,  0.40333,  0.28289, -0.12613, -0.09773,  0.49722,  0.07019, -0.09268,  0.25960,  0.13969,  0.37325, -0.01107,  1.00000,  0.02343, -0.13304,  0.30967,  0.01253,  0.21747,  0.16266,  0.02331,  0.00793,  0.18434,  0.55757,  0.39843,  0.01672, -0.03761,  0.19479,  0.36848, -0.03806,  0.42845,  0.25649, -0.01411,  0.12465,  0.02331,  0.06098, -0.04085,  0.15956, -0.01570,  0.02298,  0.41666,  0.62900,  0.01475, -0.02292,  0.02331,  0.07942, -0.05324,  0.26269,  0.44302,  0.15466,  0.04763,  0.01242,  0.02270, -0.16556, -0.15172,  0.45181, -0.00961, -0.10389,  0.00603, -0.28859, -0.04748, -0.18403,  0.32758,  0.58064,  0.01110,  0.64572, -0.22384,  0.02898,  0.00670,  0.27099, -0.04149,  0.79190, -0.13953,  0.27903,  0.73165,  0.46027,  0.76021,  0.15440,  0.06597, -0.00105, -0.06457,  0.28957, -0.08515,  0.14401,  0.21255,  0.14602, -0.15238, -0.02597,  0.00200,  0.00435,  0.66948,  0.35933, -0.00696,  0.37461,  0.20769,  0.02063,  0.45604,  0.56648,  0.15463, -0.04126,  0.23952,  0.34218,  0.37542, -0.15932,  0.08715,  0.27076,  0.23852,  0.32028,  0.27137,  0.15419,  0.05257, -0.09737,  0.24995,  0.09737,  0.04880,  0.04230,  0.01180, -0.02870,  0.02758, -0.02358, -0.08707,  0.18055,  0.25836, -0.07455,  0.02331,  0.20592,  0.40770,  0.43362,  0.02322,  0.26367,  0.14724, -0.11146,  0.13547,  0.18106,  0.03224,  0.00181,  0.03902, -0.00424, -0.04141, -0.08650, -0.05817, -0.04176, -0.08905,  0.01979, -0.08110, -0.08392, -0.07557, -0.03691,  0.01570,  0.01693, -0.01853, 
          SlogP_VSA1, -0.01959,  0.01596,  0.05143, -0.00250, -0.04965, -0.04813,  0.08753,  0.57959,  0.04874, -0.03668,  0.07543, -0.01842, -0.02142,  0.57301,  0.00554, -0.02197,  0.01506,  0.51443, -0.01576, -0.00838,  0.10014,  0.59421,  0.00979,  0.62644,  0.07863, -0.04401, -0.01614, -0.01348,  0.02087,  0.24699,  0.01028,  0.39007,  0.26484, -0.00319, -0.00924, -0.02324,  0.53390,  0.61400,  0.01471, -0.03228, -0.03966,  0.10618,  0.03251, -0.02141,  0.00833,  0.81656,  0.04559,  0.00980,  0.08859,  0.23140, -0.05728, -0.08029,  0.02975, -0.04081,  0.01503,  0.04900,  0.23813, -0.05144,  0.02009,  0.95851,  0.02343,  1.00000,  0.00568, -0.01359, -0.02184,  0.09145, -0.04443, -0.01843, -0.01183,  0.04977, -0.03250, -0.04107, -0.02014,  0.00024, -0.03583,  0.02848, -0.02625, -0.07026,  0.70921,  0.03597, -0.03533, -0.01843,  0.01702, -0.00688,  0.25312, -0.04276, -0.01838,  0.13086, -0.07336, -0.02014,  0.02174, -0.01843,  0.14518, -0.01310,  0.11106, -0.01196,  0.01746, -0.05435,  0.76742, -0.01834,  0.84828,  0.88217,  0.08515,  0.04879,  0.05187, -0.03123,  0.13756,  0.04164,  0.11401,  0.02146,  0.07905, -0.02432, -0.05279,  0.04051,  0.60582,  0.01298, -0.08240,  0.04404,  0.00152,  0.07114, -0.06690,  0.02739,  0.04125,  0.01497, -0.09705, -0.00670,  0.06059, -0.01294, -0.06851, -0.03134,  0.12138, -0.01560, -0.09489,  0.14665, -0.03617, -0.02573, -0.05038, -0.01466,  0.00351,  0.54930,  0.06076,  0.13625, -0.01708, -0.08031, -0.07405, -0.05549,  0.09431,  0.01696, -0.01992,  0.00231,  0.08300, -0.04079,  0.23909,  0.70475, -0.05732,  0.24381,  0.39671,  0.00585,  0.30581,  0.00035, -0.04220, -0.03460, -0.03424,  0.03703,  0.54737,  0.15668, -0.01553,  0.08933,  0.08908,  0.03052,  0.94150, -0.01843,  0.07331,  0.07098, -0.06769, -0.01840,  0.10636,  0.80521, -0.04505,  0.01001,  0.07120, -0.05426,  0.74022,  0.85482,  0.86041,  0.89514,  0.74193,  0.85691,  0.79803,  0.46105, -0.00826,  0.56487,  0.53318,  0.77724,  0.83373,  0.00605,  0.84540,  0.80801, 
         SlogP_VSA10,  0.08810,  0.11010,  0.08625,  0.00248, -0.09546, -0.09704, -0.13245,  0.01061,  0.08129,  0.22817,  0.10029,  0.87378, -0.03973,  0.63362,  0.02688,  0.21507, -0.08857, -0.07613,  0.71989, -0.06654,  0.00917, -0.04923, -0.11654,  0.00797,  0.09780,  0.35725,  0.14428,  0.88814, -0.02745,  0.08506, -0.05497, -0.06703,  0.82454,  0.04394,  0.08816, -0.06769, -0.08489, -0.03764,  0.03297,  0.06797, -0.05754,  0.44664, -0.09808,  0.73713,  0.85274, -0.03511,  0.02379,  0.89192,  0.04751, -0.02491, -0.10336,  0.20893,  0.15345, -0.11684,  0.02762,  0.14333, -0.03502, -0.03562, -0.06691,  0.01151, -0.13304,  0.00568,  1.00000, -0.09111,  0.08409, -0.06090,  0.11731,  0.87377,  0.16927, -0.10211, -0.07420, -0.11063,  0.88519,  0.80968, -0.09617, -0.06544,  0.83436, -0.00860, -0.04802,  0.88769, -0.00320,  0.87377,  0.08134,  0.18068,  0.06164,  0.83881,  0.87396,  0.03366, -0.08257,  0.87740, -0.00480,  0.87377, -0.01816,  0.83897,  0.12465, -0.11849, -0.04501,  0.05663,  0.00660,  0.87405,  0.28786,  0.25051, -0.08078,  0.18983,  0.04740,  0.85096,  0.47243,  0.30701,  0.24026, -0.01225, -0.06532,  0.88078, -0.09698,  0.15318,  0.14164,  0.06697,  0.11998,  0.05069, -0.18555,  0.04299,  0.04752, -0.06070, -0.09080, -0.16626,  0.03637,  0.02132,  0.01768,  0.25104, -0.00583,  0.28966,  0.13532, -0.03161,  0.12693,  0.63175,  0.07594,  0.88661,  0.80271, -0.17189, -0.10645,  0.13715, -0.09967, -0.02373,  0.87451, -0.07397, -0.14885,  0.28635,  0.23213, -0.06337, -0.05207, -0.11010,  0.14862,  0.13370, -0.03341, -0.03611, -0.03755, -0.05002, -0.03293, -0.04572,  0.52652, -0.10240,  0.05219,  0.20437,  0.10839, -0.00543,  0.25442,  0.47780,  0.88747,  0.22468,  0.11771, -0.02603,  0.01663,  0.87377, -0.01706, -0.11649, -0.08860,  0.87382,  0.06895, -0.01466,  0.23415, -0.05537,  0.02554,  0.14633,  0.04781, -0.01318, -0.00174,  0.00084,  0.14292,  0.02809,  0.05177,  0.52177,  0.87464,  0.68042,  0.53366,  0.37122,  0.02568,  0.87474, -0.01684, -0.00176, 
         SlogP_VSA11,  0.28759,  0.31895, -0.02828,  0.78792,  0.06521,  0.06048,  0.32961,  0.33863,  0.29695, -0.07171,  0.10212, -0.00530,  0.46816, -0.06118,  0.75678,  0.64004,  0.80669,  0.34053,  0.34386,  0.78246, -0.05282,  0.58155,  0.56167, -0.09177,  0.21285, -0.01789,  0.60009, -0.05538,  0.04240,  0.54503,  0.85328, -0.02180, -0.00275,  0.68405,  0.29377,  0.83784,  0.37639,  0.08494, -0.12089,  0.11409,  0.05741, -0.17718,  0.11713, -0.09397, -0.06829,  0.11185,  0.10645, -0.03024,  0.21817,  0.20983,  0.79058,  0.46020,  0.22669,  0.43853,  0.78452, -0.07213,  0.07383,  0.67779,  0.10287, -0.02777,  0.30967, -0.01359, -0.09111,  1.00000,  0.74199,  0.07408,  0.05773, -0.00529, -0.02065,  0.13305,  0.14364,  0.84182,  0.00490,  0.27507,  0.71326,  0.13718, -0.02377,  0.01714,  0.09611, -0.04490,  0.05002, -0.00529,  0.06215, -0.04726,  0.05522,  0.22197, -0.00487,  0.13934,  0.17065,  0.03883, -0.04459, -0.00529, -0.02896,  0.08966,  0.16918,  0.51520,  0.72716,  0.68003,  0.44077, -0.00571, -0.08052, -0.10369,  0.17624,  0.16382, -0.00348,  0.16281, -0.13399, -0.01810,  0.21183,  0.00221,  0.32810, -0.01398,  0.12033, -0.12966,  0.13849, -0.00771, -0.05632,  0.58490,  0.30939, -0.12500, -0.02312,  0.31191,  0.15819,  0.25012,  0.03613,  0.42417,  0.22621,  0.06868,  0.66714, -0.14967,  0.04265, -0.03582, -0.06773, -0.02369,  0.68964,  0.10367,  0.17015,  0.14511,  0.75643,  0.17433,  0.26720,  0.17713,  0.00270,  0.06131,  0.16936, -0.07074,  0.03274,  0.04499,  0.07002,  0.11892, -0.04395,  0.27530,  0.08930,  0.07410,  0.57957,  0.09682,  0.02024, -0.06281,  0.41058,  0.83407, -0.11129, -0.11261, -0.14279,  0.30963,  0.39255,  0.66543, -0.03481, -0.00123,  0.04642,  0.75227, -0.05475, -0.00529,  0.12162,  0.25492,  0.13386, -0.00535,  0.05561,  0.04175, -0.07179,  0.77160,  0.07115,  0.70485,  0.11327,  0.14569,  0.13790,  0.05730,  0.16958,  0.06770,  0.11311,  0.19604, -0.00536,  0.03519,  0.14613,  0.04268,  0.13482, -0.00055,  0.13957,  0.31391, 
         SlogP_VSA12,  0.36217, -0.01207,  0.00212,  0.77517,  0.10246,  0.09124,  0.04243,  0.03981,  0.05159,  0.10489, -0.04145,  0.01921,  0.53046,  0.04245,  0.70559,  0.82615,  0.71249,  0.36939,  0.50952,  0.85822, -0.03906,  0.61687,  0.58520, -0.06316,  0.01941,  0.03696,  0.72710,  0.01444, -0.04404,  0.45561,  0.60598, -0.04907,  0.06265,  0.85728,  0.01500,  0.72990,  0.37993,  0.01183, -0.11170,  0.04519,  0.05855,  0.01221, -0.03719,  0.03913,  0.00662, -0.06671, -0.01150,  0.01165,  0.02017,  0.01944,  0.54419,  0.71795,  0.06203,  0.47701,  0.89677,  0.02891, -0.03418,  0.79899,  0.10744, -0.03261,  0.01253, -0.02184,  0.08409,  0.74199,  1.00000,  0.00768,  0.02472,  0.01921,  0.09784,  0.08328,  0.12652,  0.53488,  0.03782,  0.21188,  0.76017,  0.03661,  0.04461,  0.08840, -0.03516,  0.00463,  0.04128,  0.01921,  0.13110,  0.05604,  0.02610,  0.35716,  0.01983, -0.00189,  0.09431,  0.07270,  0.01288,  0.01921, -0.06244,  0.05850,  0.01384,  0.51317,  0.70709,  0.65754,  0.53952,  0.01913,  0.00704,  0.00129, -0.02475,  0.02408,  0.01917,  0.25114,  0.08910,  0.11849,  0.10712,  0.04267,  0.05810,  0.02161,  0.05599,  0.00197,  0.06180,  0.01282,  0.08361,  0.70577,  0.00657, -0.05352,  0.00423, -0.01948, -0.04811,  0.02291,  0.10380,  0.60201,  0.02943,  0.06993,  0.77295, -0.03082, -0.04339, -0.02331,  0.04342, -0.03332,  0.86943,  0.11483,  0.26168,  0.00354,  0.76854,  0.03422,  0.10633,  0.09187,  0.02750,  0.04013,  0.02305,  0.04982,  0.21526, -0.03561, -0.02994, -0.04943,  0.00177,  0.00640, -0.03873, -0.04083,  0.72008, -0.02714,  0.01846, -0.06137,  0.54135,  0.65022, -0.07090, -0.06103, -0.07052,  0.03755,  0.56030,  0.74424,  0.01651,  0.03413, -0.06637,  0.86635, -0.01989,  0.01921, -0.00527, -0.00277,  0.03724,  0.01921, -0.03677, -0.02914,  0.09979,  0.87522,  0.01757,  0.90965, -0.05535, -0.02330, -0.03522, -0.02893, -0.01187, -0.01798, -0.02346,  0.01306,  0.01893,  0.00897, -0.00782,  0.00108, -0.02078,  0.01904, -0.05489,  0.16810, 
          SlogP_VSA2, -0.01955,  0.06067, -0.04833, -0.02909,  0.17980,  0.18450,  0.23709,  0.12591,  0.00735,  0.05899,  0.17901, -0.01134, -0.06679, -0.00152,  0.09302, -0.04730,  0.15414,  0.42770,  0.24391,  0.07615,  0.11951,  0.10868,  0.08224,  0.13194,  0.02266, -0.02757,  0.03235, -0.05839, -0.06995,  0.02084,  0.14061,  0.04209, -0.01810,  0.03249,  0.03208,  0.07138,  0.45172,  0.02321, -0.13669,  0.05597, -0.01422, -0.13246,  0.10854,  0.35191, -0.01375,  0.08376,  0.12203, -0.03200,  0.48880,  0.25902,  0.07407,  0.05064, -0.02722,  0.02897,  0.02464,  0.57063,  0.19455,  0.40009,  0.66963,  0.06463,  0.21747,  0.09145, -0.06090,  0.07408,  0.00768,  1.00000,  0.00476, -0.01133, -0.07840,  0.08445,  0.09416,  0.11823, -0.01240, -0.01674,  0.03236,  0.88616, -0.01273, -0.03089,  0.16252, -0.04442, -0.09476, -0.01133, -0.01998,  0.79179,  0.02937, -0.02939, -0.01151,  0.06458,  0.04398, -0.01772,  0.56512, -0.01133,  0.11366,  0.19611,  0.11013,  0.05928,  0.12852,  0.36613,  0.06336, -0.01161,  0.06562,  0.03558,  0.78076, -0.03506, -0.07483, -0.01264, -0.05415,  0.04123, -0.09212,  0.07497,  0.22328, -0.01697,  0.06318,  0.01167,  0.27365,  0.64419, -0.05211,  0.41640,  0.18455,  0.00380, -0.05302,  0.19276,  0.13724,  0.17967, -0.08109, -0.08955,  0.53796, -0.01092, -0.00465, -0.13549,  0.15219,  0.03611, -0.07557, -0.04398, -0.06276, -0.02591,  0.22908,  0.27335,  0.22316,  0.03556,  0.46941,  0.26943, -0.01065,  0.21612,  0.23453,  0.39663, -0.01646,  0.08591,  0.71412,  0.79354,  0.04323, -0.00057,  0.20846,  0.15314, -0.00306,  0.20088,  0.73416, -0.02868, -0.02961,  0.10100, -0.08734, -0.06141, -0.09406,  0.41642, -0.03261, -0.02778, -0.02772,  0.02382,  0.19331,  0.08828,  0.05104, -0.01133,  0.03342,  0.40822,  0.67558, -0.01136,  0.03987,  0.17627,  0.06312,  0.27306,  0.09494, -0.03190,  0.06736,  0.22142,  0.05612,  0.05226,  0.03790,  0.05782,  0.04818, -0.00843, -0.01135,  0.00103,  0.03446,  0.03438,  0.03750, -0.01185,  0.07434,  0.03751, 
          SlogP_VSA3, -0.00022,  0.41887, -0.06705, -0.00715,  0.03274,  0.03344,  0.04944,  0.04111,  0.00999, -0.03070,  0.64264, -0.00959,  0.07610, -0.04865,  0.29041,  0.00451,  0.11433,  0.09570, -0.02340,  0.00699, -0.02322,  0.01482,  0.10805, -0.04463, -0.01586,  0.63945,  0.23086, -0.02727,  0.07400,  0.54923,  0.29809,  0.02308,  0.30501,  0.03219,  0.67911,  0.05613,  0.10899,  0.05279, -0.05091,  0.65235,  0.18043, -0.06381,  0.09283, -0.00343, -0.03994, -0.02726, -0.01565, -0.02738,  0.27385, -0.00961,  0.11581, -0.02192, -0.05590,  0.13660,  0.16048, -0.06050,  0.05608,  0.02784,  0.07041, -0.05474,  0.16266, -0.04443,  0.11731,  0.05773,  0.02472,  0.00476,  1.00000, -0.00959, -0.02008,  0.03566,  0.14730,  0.13761,  0.01850,  0.10663,  0.02435,  0.01446,  0.44284,  0.14090,  0.02803, -0.04571,  0.02834, -0.00958, -0.01687, -0.04522, -0.02976,  0.00534, -0.00961, -0.00678,  0.13552, -0.00977, -0.03447, -0.00959, -0.03545,  0.13729,  0.41963,  0.13502,  0.11019,  0.28847, -0.02674, -0.00967, -0.06272, -0.07515, -0.00161,  0.53502,  0.01515, -0.00727, -0.07360,  0.61277, -0.04664,  0.09288,  0.05545, -0.01136,  0.18627, -0.05329,  0.26193,  0.00127,  0.10516, -0.04138,  0.16635, -0.05490,  0.04369,  0.47837,  0.04011,  0.13040,  0.05234,  0.07074, -0.01681,  0.73955,  0.13114, -0.03288,  0.60420,  0.06398,  0.05709, -0.05025,  0.00917,  0.02454,  0.13990,  0.15884,  0.08253,  0.15691,  0.07125, -0.04375, -0.01030,  0.09949,  0.15440,  0.06668,  0.01644,  0.05181,  0.03555,  0.04845,  0.02791,  0.47280,  0.04364,  0.02592,  0.09212,  0.05215,  0.03650, -0.00024, -0.04179,  0.09048,  0.03273,  0.01056,  0.02660, -0.01457,  0.00344,  0.20483, -0.01988,  0.39012,  0.65466,  0.04838, -0.04100, -0.00959, -0.03597,  0.09821,  0.10896, -0.00960,  0.00573,  0.12461, -0.03480,  0.00831, -0.05162, -0.00098,  0.36440, -0.06020, -0.06279, -0.04511, -0.01632,  0.00822,  0.19437,  0.15796, -0.01021, -0.02572, -0.03923, -0.01540, -0.05631, -0.01025, -0.06683, -0.04189, 
          SlogP_VSA4,  0.12015, -0.00085, -0.02801, -0.00353, -0.01430, -0.01566,  0.01297, -0.00573, -0.01305,  0.19041, -0.00098,  1.00000, -0.01537,  0.67149, -0.01385,  0.24344, -0.00088, -0.00315,  0.75332, -0.00778, -0.00551, -0.01511, -0.01064,  0.00189,  0.00016,  0.16132,  0.03367,  0.94409, -0.01034, -0.01490, -0.00360, -0.01283,  0.80764, -0.01240, -0.01384, -0.01437, -0.01077, -0.00858, -0.01860, -0.00338,  0.00446,  0.31724,  0.00454,  0.78345,  0.94089, -0.01859, -0.00268,  0.98174, -0.01151, -0.01218, -0.00790,  0.20570, -0.01803, -0.00148, -0.01086,  0.01381, -0.01021, -0.00807, -0.01270, -0.01774,  0.02331, -0.01843,  0.87377, -0.00529,  0.01921, -0.01133, -0.00959,  1.00000,  0.02425, -0.00302, -0.00085, -0.00047,  0.99887,  0.85282, -0.01112, -0.00856,  0.75423,  0.01200, -0.00887,  0.93861, -0.01404,  1.00000, -0.01201,  0.16101, -0.02099,  0.92247,  1.00000, -0.01798,  0.00148,  0.99810,  0.01570,  1.00000, -0.01986,  0.87893, -0.01164, -0.00514, -0.01356,  0.02152, -0.01124,  1.00000,  0.23248,  0.15695, -0.00225, -0.00660, -0.02079,  0.96597,  0.37645, -0.00684,  0.15948,  0.00580,  0.00893,  0.99784,  0.00850,  0.08068, -0.01189,  0.02982,  0.06973,  0.02108,  0.01251,  0.00649, -0.01441,  0.00884,  0.00155,  0.00837, -0.00820, -0.00171, -0.01469, -0.00145,  0.01376,  0.15227, -0.01297, -0.00204, -0.01549,  0.60776,  0.03010,  0.98443,  0.88875,  0.00548, -0.00949, -0.01764, -0.01492, -0.01811,  0.99991, -0.00200, -0.00174,  0.29339, -0.01384, -0.02046, -0.01205, -0.00560,  0.10424, -0.00400, -0.00724, -0.01087,  0.00097, -0.00723, -0.00506, -0.01240,  0.58094, -0.00778,  0.04095,  0.18595,  0.06978, -0.00636,  0.21653,  0.49107,  0.99296, -0.01953, -0.00800, -0.00707, -0.01119,  1.00000, -0.01023, -0.00175, -0.00759,  1.00000, -0.01571, -0.00674,  0.20048, -0.00920, -0.02591,  0.14380, -0.02039, -0.01762, -0.01676, -0.00851,  0.14360,  0.03271,  0.02730,  0.49560,  0.99992,  0.73122,  0.58097,  0.39669,  0.00140,  0.99940, -0.01852, -0.00769, 
